,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,‘Āhuimanu,21.4447,-157.8378,81.75,66,75,19.57,US,1650928068
359,Durban,-29.8579,31.0292,63.01,67,34,3.0,ZA,1650928001
360,Río Cuarto,-33.1307,-64.3499,64.17,42,0,10.36,AR,1650928068
361,Constitución,-35.3333,-72.4167,54.0,92,100,10.13,CL,1650927831
362,Te Anau,-45.4167,167.7167,49.59,65,8,0.47,NZ,1650927713
363,Saint Anthony,45.0205,-93.218,35.92,68,100,18.41,US,1650928068
364,Seoul,37.5683,126.9778,63.84,66,98,2.84,KR,1650927794
365,Bayir,37.2687,28.2167,46.92,65,21,2.59,TR,1650928069
366,Ukiah,39.1502,-123.2078,75.85,44,0,11.5,US,1650928069
367,Kaa-Khem,51.6833,94.7333,31.91,40,96,4.07,RU,1650928069
368,Tilichiki,60.4667,166.1,27.93,88,100,12.15,RU,1650927895
369,Inuvik,68.3499,-133.7218,33.98,100,100,3.38,CA,1650927899
370,Swellendam,-34.0226,20.4417,53.51,79,0,1.99,ZA,1650928070
371,Vanimo,-2.6741,141.3028,80.53,84,82,6.13,PG,1650928070
372,Kearney,40.6995,-99.0815,57.76,18,0,16.11,US,1650928071
373,Kargasok,59.0556,80.8572,33.69,95,100,5.66,RU,1650928071
374,San Cristobal,7.7669,-72.225,71.08,84,74,0.67,VE,1650927824
375,Hirara,24.8,125.2833,78.44,91,13,19.6,JP,1650928071
376,Tanabe,33.7333,135.3667,70.81,94,75,16.11,JP,1650928072
377,Kodinsk,58.6881,99.1844,26.82,98,89,3.71,RU,1650928072
378,Bintulu,3.1667,113.0333,75.94,90,99,4.41,MY,1650928072
379,Dawson Creek,55.7666,-120.2362,47.84,76,40,6.91,CA,1650928073
380,Nichinan,31.6,131.3667,73.53,92,93,11.27,JP,1650928073
381,Baoma,31.4859,106.1128,65.73,77,100,1.41,CN,1650928073
382,Den Helder,52.9599,4.7593,48.18,77,27,11.99,NL,1650928074
383,Miguel Auza,24.2933,-103.4503,83.98,12,8,11.68,MX,1650928074
384,Jalu,29.0331,21.5482,77.27,18,81,8.68,LY,1650927907
385,Praia,14.9215,-23.5087,73.94,64,0,20.71,CV,1650927924
386,Oktyabr'skoye,43.0645,44.7417,48.34,93,3,6.71,RU,1650927720
387,Nago,26.5881,127.9761,79.65,88,27,15.03,JP,1650928074
388,Bentiu,9.2333,29.8333,79.86,59,92,5.06,SS,1650928075
389,Kupang,-10.1667,123.5833,76.8,73,100,3.44,ID,1650927887
390,Boromlya,50.6184,34.9704,56.34,67,66,8.05,UA,1650928075
391,Kendari,-3.945,122.4989,76.46,92,24,2.64,ID,1650928045
392,Posse,-14.0931,-46.3694,73.62,46,9,6.35,BR,1650928076
393,Sambava,-14.2667,50.1667,73.74,89,99,8.72,MG,1650927972
394,Atmakūr,15.8833,78.5833,84.56,47,71,1.68,IN,1650928076
395,Changde,29.0464,111.6783,69.06,88,91,2.37,CN,1650928076
396,Ierapetra,35.01,25.7353,63.14,70,65,1.99,GR,1650928077
397,Sobolevo,54.4299,31.8996,43.97,95,78,3.42,RU,1650928077
398,Port Blair,11.6667,92.75,81.9,74,29,2.91,IN,1650927816
399,Berea,41.3662,-81.8543,58.75,91,100,5.75,US,1650928077
400,Yangi Marg`ilon,40.4272,71.7189,59.72,67,81,4.61,UZ,1650927962
401,Belmonte,-15.8631,-38.8828,77.43,84,2,9.69,BR,1650927953
402,Rassvet,46.8333,40.75,57.04,86,61,0.89,RU,1650928078
403,Lajas,18.05,-67.0593,79.36,89,55,3.0,PR,1650928078
404,Lewistown,40.5992,-77.5714,69.19,85,75,11.5,US,1650928079
405,Nikolayevsk-on-Amur,53.1406,140.73,32.68,82,61,1.14,RU,1650928079
406,Meulaboh,4.1363,96.1285,75.36,93,100,3.29,ID,1650927729
407,Svatove,49.4103,38.1503,55.92,63,100,3.6,UA,1650928079
408,Kovdor,67.5662,30.4758,30.47,93,100,10.76,RU,1650928080
409,Fershampenuaz,53.5202,59.8117,47.01,80,93,7.02,RU,1650928080
410,Teya,60.3778,92.6267,31.17,95,100,5.61,RU,1650927819
411,Lerwick,60.1545,-1.1494,42.8,71,82,16.11,GB,1650928080
412,Yarim,14.298,44.3779,55.15,61,64,3.24,YE,1650928081
413,Coquimbo,-29.9533,-71.3436,60.3,89,6,0.94,CL,1650927699
414,Qaqortoq,60.7167,-46.0333,33.4,95,93,3.85,GL,1650927909
415,Oranjestad,12.524,-70.027,79.99,83,85,19.01,AW,1650928081
416,Plettenberg Bay,-34.0527,23.3716,55.09,79,0,6.67,ZA,1650928081
417,Muros,42.7762,-9.0603,51.84,85,83,7.36,ES,1650928082
418,Beringovskiy,63.05,179.3167,30.16,97,100,22.57,RU,1650928082
419,Upata,8.0086,-62.3989,77.23,78,91,4.38,VE,1650928082
420,Ola,59.5833,151.2833,35.15,58,100,11.45,RU,1650928083
421,Potam,27.6,-110.3833,85.95,25,0,12.93,MX,1650928083
422,Saint-Pierre,-21.3393,55.4781,71.29,80,0,9.22,RE,1650927722
423,Juneau,58.3019,-134.4197,47.84,87,100,2.93,US,1650927794
424,Klyuchi,52.2667,79.1667,38.08,55,25,3.78,RU,1650928084
425,Sabla,12.7525,4.7077,89.55,9,100,6.2,NG,1650928084
426,Chapada dos Guimarães,-15.4606,-55.7497,76.66,60,15,4.94,BR,1650928084
427,Khani,41.9563,42.9566,56.77,65,0,6.6,GE,1650928085
428,Samarai,-10.6167,150.6667,84.49,72,75,12.91,PG,1650927864
429,Marsabit,2.3284,37.9899,69.69,64,98,8.01,KE,1650927781
430,Manali,13.1667,80.2667,84.29,89,11,9.35,IN,1650928085
431,Bambanglipuro,-7.95,110.2833,76.48,90,87,4.38,ID,1650927879
432,Colesberg,-30.72,25.0972,45.9,66,0,7.4,ZA,1650928086
433,Chakrāta,30.7,77.85,53.33,33,82,8.14,IN,1650928086
434,Caorle,45.5966,12.8758,56.41,90,99,10.4,IT,1650928086
435,Concarneau,47.875,-3.9225,50.79,74,84,10.4,FR,1650928087
436,Tura,25.5198,90.2201,71.33,87,0,4.97,IN,1650927960
437,Mildura,-34.2,142.15,58.96,82,100,4.61,AU,1650927925
438,Capão da Canoa,-29.7456,-50.0097,72.39,84,91,6.91,BR,1650928027
439,Zhigansk,66.7697,123.3711,12.94,91,94,2.86,RU,1650927847
440,Kiunga,-6.1219,141.2906,76.41,95,100,1.48,PG,1650928087
441,Dingle,10.9995,122.6711,80.49,84,79,7.87,PH,1650927783
442,Laurel,39.0993,-76.8483,70.38,74,0,17.27,US,1650927970
443,Karratha,-20.7377,116.8463,74.89,66,73,7.56,AU,1650928088
444,Kamina,-8.7386,24.9906,64.67,96,58,3.74,CD,1650928088
445,Xinqing,48.2333,129.5,34.45,97,100,12.97,CN,1650928088
446,Itarema,-2.9248,-39.9167,77.76,87,48,9.37,BR,1650928089
447,Rondonópolis,-16.4708,-54.6356,83.34,57,95,5.06,BR,1650928017
448,Kununurra,-15.7667,128.7333,69.78,94,92,0.0,AU,1650927785
449,Batalha,-9.6778,-37.1247,73.08,90,31,4.59,BR,1650928089
450,Aripuanã,-9.1667,-60.6333,79.18,74,83,2.19,BR,1650928090
451,Dodge City,37.7528,-100.0171,63.7,25,100,6.91,US,1650928090
452,Russell,32.3502,-85.1999,82.0,61,75,3.44,US,1650928090
453,Ayan,56.45,138.1667,32.43,80,9,3.49,RU,1650928091
454,Zhigalovo,54.8097,105.1578,23.88,79,60,1.99,RU,1650928091
455,Puerto Suárez,-18.95,-57.8,87.6,39,47,4.59,BO,1650928091
456,Yulara,-25.2406,130.9889,62.62,66,98,6.17,AU,1650927939
457,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,80.6,71,100,7.36,AR,1650928092
458,Severodvinsk,64.5635,39.8302,35.71,99,100,4.72,RU,1650928092
459,Riyadh,24.6877,46.7219,71.74,45,100,9.4,SA,1650927908
460,Amazar,53.858,120.875,35.94,61,100,5.55,RU,1650928092
461,Barabai,-2.5833,115.3833,74.35,98,91,0.74,ID,1650928093
462,Ostrovnoy,68.0531,39.5131,32.49,96,100,12.06,RU,1650927947
463,Boo,59.3333,18.2833,42.82,74,100,2.3,SE,1650928093
464,Kirillov,59.863,38.3813,41.61,95,95,6.96,RU,1650928094
465,Noshiro,40.2039,140.0242,63.1,62,100,5.68,JP,1650927959
466,Santa Ana,33.7456,-117.8678,93.7,15,0,12.66,US,1650927947
467,Sar-e Pul,35.8333,66.1667,56.89,51,27,3.11,AF,1650928094
468,Virtsu,58.5716,23.5115,39.97,74,27,11.03,EE,1650928095
469,Lere,10.387,8.5726,77.65,65,98,5.59,NG,1650928095
470,Bandi̇̄pur,27.9333,84.4167,64.58,30,0,2.89,NP,1650928095
471,Guerrero Negro,27.9769,-114.0611,79.77,22,0,13.65,MX,1650927789
472,Pacific Grove,36.6177,-121.9166,76.55,71,0,11.5,US,1650927840
473,Colquechaca,-18.6667,-66.0167,40.23,23,22,5.17,BO,1650928096
474,Quatre Cocos,-20.2078,57.7625,73.09,73,40,15.64,MU,1650927835
475,Aklavik,68.2191,-135.0107,33.3,100,100,5.03,CA,1650927924
476,Esim,4.8699,-2.2405,79.56,87,38,5.59,GH,1650927838
477,Tromsø,69.6496,18.957,26.62,80,100,10.36,NO,1650928076
478,Águia Branca,-18.9831,-40.7403,70.63,92,17,3.13,BR,1650928097
479,Pangnirtung,66.1451,-65.7125,12.65,99,100,5.88,CA,1650927711
480,Chara,56.9064,118.2631,24.28,67,92,2.64,RU,1650928097
481,Tabuk,17.4189,121.4443,77.32,81,70,4.85,PH,1650928097
482,Nagato,34.3833,131.2,64.2,88,100,24.18,JP,1650928098
483,Londa,15.4691,74.5191,74.75,84,75,2.89,IN,1650928098
484,Horki,54.2861,30.9842,44.19,94,63,4.68,BY,1650928098
485,Doha,25.2867,51.5333,80.58,57,66,14.97,QA,1650928099
486,Dudinka,69.4058,86.1778,-0.38,96,100,7.11,RU,1650928099
487,Taoudenni,22.6783,-3.9836,78.73,18,0,9.89,ML,1650928099
488,Fukuechō,32.6881,128.8419,71.04,90,100,24.65,JP,1650928100
489,Shimoda,34.6667,138.95,70.11,88,99,4.81,JP,1650927946
490,Bundaberg,-24.85,152.35,68.29,92,100,12.66,AU,1650928100
491,Srikakulam,18.3,83.9,81.09,89,6,7.92,IN,1650928100
492,Grand Baie,-20.0182,57.5802,73.45,80,12,1.99,MU,1650928101
493,Acaraú,-2.8856,-40.12,78.01,88,55,10.42,BR,1650927670
494,Herndon,38.9696,-77.3861,70.9,71,75,8.05,US,1650928032
495,Mitú,1.1983,-70.1733,74.07,96,95,1.48,CO,1650928101
496,Dickinson,29.4608,-95.0513,66.36,94,100,14.97,US,1650928102
497,Fort Nelson,58.8053,-122.7002,37.27,100,100,2.73,CA,1650928102
498,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,56,75,4.47,RU,1650927864
499,Energetik,51.7445,58.7934,49.64,59,100,6.4,RU,1650928102
500,Kaiyuan,23.6977,103.3037,63.99,60,0,3.09,CN,1650928103
501,Naro Moru,-0.1676,37.0213,55.71,96,92,4.05,KE,1650928103
502,Gobabis,-22.45,18.9667,59.92,46,47,13.89,NA,1650927960
503,Adrar,20.5022,-10.0711,75.38,29,0,10.58,MR,1650927743
504,Severnyy,50.677,36.5532,53.64,71,0,4.47,RU,1650928104
505,Sakaiminato,35.55,133.2333,65.46,87,100,12.75,JP,1650928104
506,Vinh,18.6667,105.6667,79.56,75,31,2.86,VN,1650928104
507,Palana,59.1167,159.9667,27.48,87,100,8.86,RU,1650928105
508,Pisco,-13.7,-76.2167,66.02,88,100,1.74,PE,1650927779
509,Enshi,30.3,109.4833,66.04,92,74,0.38,CN,1650928105
510,Boali,4.8005,18.1275,75.11,78,98,2.01,CF,1650928106
511,Verāval,20.9,70.3667,80.31,69,0,11.12,IN,1650928106
512,Belawan,3.7755,98.6832,75.49,94,100,7.76,ID,1650928106
513,Jumla,29.2747,82.1838,48.06,43,0,4.72,NP,1650928106
514,Mayumba,-3.432,10.6554,77.09,92,100,6.13,GA,1650928107
515,Patacamaya,-17.2333,-67.9167,52.54,45,40,5.01,BO,1650928107
516,Santa Maria,-29.6842,-53.8069,76.91,74,92,4.12,BR,1650928036
517,Sur,22.5667,59.5289,85.39,43,1,12.15,OM,1650928108
518,Ordynskoye,54.3656,81.8994,35.33,70,24,6.31,RU,1650927978
519,Carutapera,-1.195,-46.02,76.14,93,59,6.31,BR,1650928108
520,Mitsamiouli,-11.3847,43.2844,81.32,78,81,9.33,KM,1650927910
521,Benemérito de las Américas,16.5167,-90.6439,94.71,37,4,1.1,MX,1650928109
522,Eenhana,-17.4667,16.3333,66.09,46,15,3.91,NA,1650928109
523,Callaguip,18.0714,120.4867,82.42,78,20,5.75,PH,1650928109
524,Deputatsky,69.3,139.9,10.33,92,100,1.32,RU,1650927898
525,Hofn,64.2539,-15.2082,39.87,94,100,7.99,IS,1650927590
526,Mudgee,-32.5943,149.5871,60.85,72,100,6.91,AU,1650928066
527,São Miguel do Araguaia,-13.275,-50.1628,77.05,66,6,3.8,BR,1650928098
528,Yaan,7.3833,8.5667,83.03,68,88,9.26,NG,1650928110
529,Ma’anshan,31.6957,118.4983,64.69,91,100,7.61,CN,1650928110
530,Pitimbu,-7.4706,-34.8086,73.99,82,43,11.23,BR,1650928111
531,Guangyuan,32.442,105.823,62.98,76,87,2.71,CN,1650928111
532,Ōzu,33.5,132.55,70.3,91,100,13.69,JP,1650928111
533,Codrington,-38.2667,141.9667,62.24,57,92,10.74,AU,1650927889
534,Satwās,22.5333,76.6833,88.18,15,1,12.12,IN,1650927974
535,Buraidah,26.326,43.975,75.45,36,44,3.44,SA,1650927983
536,Palekh,56.8028,41.8572,50.5,86,100,7.38,RU,1650928112
537,Erdenet,49.0333,104.0833,17.71,58,0,3.49,MN,1650928112
538,Domoni,-12.2569,44.5319,78.89,86,84,1.86,KM,1650928112
539,Mae Sot,16.7167,98.5667,74.43,94,27,1.19,TH,1650928113
540,Piaçabuçu,-10.4056,-36.4344,77.32,82,47,8.41,BR,1650928113
541,Maţāy,28.419,30.7792,74.43,30,37,16.53,EG,1650928113
542,Mahīshādal,22.1833,87.9833,80.29,91,5,10.98,IN,1650928114
543,Boende,-0.2167,20.8667,69.55,94,95,2.53,CD,1650927867
544,Lagoa,39.05,-27.9833,57.96,72,68,11.16,PT,1650927968
545,Manta,-0.95,-80.7333,80.38,74,75,8.05,EC,1650928114
546,Soma,39.1855,27.6094,59.45,60,63,0.67,TR,1650928115
547,Ribas do Rio Pardo,-20.4431,-53.7592,80.1,49,88,3.33,BR,1650928115
548,Paita,-5.0892,-81.1144,70.92,77,51,16.11,PE,1650928115
549,Iporá,-16.4419,-51.1178,78.93,57,74,3.04,BR,1650927906
550,Abu Kamal,34.4506,40.9171,74.17,30,2,0.94,SY,1650928116
551,Gouré,13.9835,10.2704,87.76,14,99,8.88,NE,1650928116
552,Fort Abbas,29.1925,72.8536,84.58,19,0,6.69,PK,1650928116
553,Agadez,19.75,10.25,81.79,10,0,2.71,NE,1650928117
554,Hudson Bay,52.85,-102.3842,33.69,43,0,8.75,CA,1650928117
555,Salaspils,56.8601,24.3654,33.67,88,81,4.74,LV,1650928117
556,Matara,5.9485,80.5353,77.63,87,48,1.86,LK,1650927972
557,Myanaung,18.2833,95.3167,81.23,75,3,2.48,MM,1650928087
558,Krosno,49.6887,21.7706,49.05,100,79,13.02,PL,1650928118
559,Westport,41.1415,-73.3579,57.61,54,100,4.61,US,1650928118
560,Bissau,11.8636,-15.5977,78.31,63,2,10.31,GW,1650928118
561,Marsá Maţrūḩ,31.3525,27.2453,63.95,74,66,4.34,EG,1650928119
562,Salalah,17.0151,54.0924,80.69,74,40,2.3,OM,1650927891
563,Koumac,-20.5667,164.2833,76.62,59,96,8.37,NC,1650927819
564,Kruisfontein,-34.0033,24.7314,51.89,82,1,6.87,ZA,1650927824
565,Najrān,17.4924,44.1277,68.38,57,1,6.08,SA,1650928119
566,Mount Isa,-20.7333,139.5,71.37,94,100,4.61,AU,1650928120
567,Sabha,27.0377,14.4283,77.11,19,100,17.63,LY,1650928120
568,Lavrentiya,65.5833,-171.0,26.92,78,98,6.98,RU,1650927950
569,Pesaro,43.9036,12.8903,58.95,63,29,1.01,IT,1650928121
570,Ajdovščina,45.886,13.9095,56.16,91,96,1.57,SI,1650928121
571,Ipubi,-7.6519,-40.1489,73.76,75,42,7.56,BR,1650928121
572,Usinsk,65.9939,57.5281,30.65,85,100,9.1,RU,1650927840
573,Stornoway,58.2093,-6.3865,46.36,87,100,9.22,GB,1650928122
574,Banjar,-8.19,114.9675,77.74,89,100,2.59,ID,1650928122
575,Takoradze,4.8845,-1.7554,80.31,86,25,5.64,GH,1650927913
576,Avera,33.194,-82.5271,83.55,61,33,4.7,US,1650928122
577,Luga,58.7372,29.8453,40.46,95,100,5.01,RU,1650928123
578,Davila,18.4726,120.5763,82.38,73,39,2.44,PH,1650928123
579,Turukhansk,65.8167,87.9833,1.26,97,23,3.96,RU,1650928123
580,Vardø,70.3705,31.1107,29.48,85,69,31.32,NO,1650927834
581,Blackwater,-23.5833,148.8833,64.8,91,100,15.26,AU,1650928124
582,Ormara,25.2088,64.6357,81.55,80,0,14.45,PK,1650928124
583,São José da Coroa Grande,-8.8978,-35.1478,78.82,79,100,7.11,BR,1650928124
584,Walvis Bay,-22.9575,14.5053,58.08,63,0,8.01,NA,1650927854
